"Schools_Name","ID","Schools_Category","Schools_No_Pupils","Schools_Tel","Schools_Head","Schools_Age_Range","Schools_Postcode","Xcoord","Ycoord"
"Glenmoor School","S1","County Girls",735,"527818","Mrs P Orchards","11-16","BH10 4EX",407875,94221
"Oakmead College of Technology","S2","County",1011,"573266","Mr P Lawrenson","11-18","BH11 9SS",405766,95915
"Harewood College","S3","County Boys",756,"309841","Mr J Haigh","11-16","BH7 6N2",412310,93334
"The Bishop of Winchester Comprehensive S","S4","County",733,"512697","Mr A Whelan","11-16","BH8 9PW",410712,94251
"Winton Arts & Media College","S5","County Boys",757,"529738","Mr I Johnston","11-16","BH9 1TP",407773,94165
"Bournemouth School for Girls","S6","Secondary G M",949,"526289","Mrs M Matthews","11-18","BH8 9US",410516,94604
"Bournemouth School","S7","Secondary G M",959,"512609","","11-18","BH8 9PX",410086,94323
"Avonbourne School","S8","G M Girls",997,"398451","Mrs M Burton","11-16","BH7 7NY",412224,93246
"St Peters Catholic Comprehensive School","S9","RC VA GM",1700,"421141","Mr A McCaffrey","11-18","BH6 4AH",414741,91544
"Kings High School","S10","",0,"528544","Mr A Fendley","11-","BH10 5HS",407242,95160
